continous_index,original_index,zinc_id,smiles,src
55,111,ZINC000000119675,COc1cc(CCN)ccc1O,bachem-for-sale.csv
56,115,ZINC000000128256,N[C@@H](Cc1ccc2ccccc2c1)C(=O)O,bachem-for-sale.csv
57,116,ZINC000000128259,N[C@H](Cc1ccc2ccccc2c1)C(=O)O,bachem-for-sale.csv
58,118,ZINC000000128558,Cn1cc(NC(=O)OC(C)(C)C)cc1C(=O)O,bachem-for-sale.csv
59,120,ZINC000000133159,N[C@@H](Cc1ccc(OCc2ccccc2)cc1)C(=O)O,bachem-for-sale.csv
60,121,ZINC000000133162,N[C@H](Cc1ccc(OCc2ccccc2)cc1)C(=O)O,bachem-for-sale.csv
61,134,ZINC000000154475,N[C@H](C(=O)O)c1ccccc1,bachem-for-sale.csv
62,135,ZINC000000154476,N[C@@H](C(=O)O)c1ccccc1,bachem-for-sale.csv
63,142,ZINC000000155965,O=C(O)CNCc1ccccc1,bachem-for-sale.csv
64,145,ZINC000000156102,N[C@@H](Cc1ccc(Cl)cc1)C(=O)O,bachem-for-sale.csv
65,148,ZINC000000156682,N[C@@H](CC(=O)OCc1ccccc1)C(=O)O,bachem-for-sale.csv
66,152,ZINC000000156852,CC(C)(C)OC(=O)[C@H]1CCCN1,bachem-for-sale.csv
67,153,ZINC000000156861,CC(C)[C@H](N)C(=O)OC(C)(C)C,bachem-for-sale.csv
68,154,ZINC000000156862,CC(C)[C@@H](N)C(=O)OC(C)(C)C,bachem-for-sale.csv
69,156,ZINC000000156948,N[C@@H](Cc1ccccc1)C(=O)OCc1ccccc1,bachem-for-sale.csv
70,157,ZINC000000157014,O=C(O)[C@H]1CCCCN1,bachem-for-sale.csv
71,158,ZINC000000157015,O=C(O)[C@@H]1CCCCN1,bachem-for-sale.csv
72,159,ZINC000000160405,CN[C@@H](CC(C)C)C(=O)O,bachem-for-sale.csv
73,160,ZINC000000162643,CCOC(=O)CCN,bachem-for-sale.csv
74,161,ZINC000000162644,CCOC(=O)[C@@H](N)C(C)C,bachem-for-sale.csv
75,162,ZINC000000163151,CC[C@H](C)[C@H](NC)C(=O)O,bachem-for-sale.csv
76,165,ZINC000000164935,CC(C)(C)[C@H](N)C(=O)O,bachem-for-sale.csv
77,172,ZINC000000266964,N[C@@H](Cc1ccc(O)cc1)C(=O)O,bachem-for-sale.csv
78,174,ZINC000000305336,CC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(N)=O,bachem-for-sale.csv
79,182,ZINC000000388312,CC[C@@H](C)[C@H](N)C(=O)O,bachem-for-sale.csv
80,183,ZINC000000388313,CC[C@@H](C)[C@@H](N)C(=O)O,bachem-for-sale.csv
81,184,ZINC000000388314,CC[C@H](C)[C@@H](N)C(=O)O,bachem-for-sale.csv
82,185,ZINC000000388371,COc1ccc(C[C@H](N)C(=O)O)cc1,bachem-for-sale.csv
83,187,ZINC000000388396,CC(C)C[C@@H](N)C(=O)O,bachem-for-sale.csv
